timestamp;Equipamento;Tipo;Modelo;HEF;HTI;HAO;HOE;HOI;HTD;HMC;HAC;MPS;MPNS;Manutenção Corretiva;Manutenção Preventiva;Manutenção Total;Horas Trabalhadas;Horas Calendario;Producao;DF;UF;RO;Produtividade;Nº Corretivas;Nº Preventivas;Nº Manutenção;MTBF;MTTR;MTBS;MTTS
jun/22;PT3114;Patrol;Patrol 24M;0,0;224,8;0,0;4,0;57,8;0,0;20,7;0,0;223,1;33,0;20,7;256,1;276,8;224,8;563,3;;50,9%;78,5%;0,8;;7,0;6,0;13,0;32,1;3,0;17,3;39,5
jun/22;PT3116;Patrol;Patrol 24M;0,0;410,1;0,0;2,2;65,4;0,0;33,8;0,0;0,0;51,8;33,8;51,8;85,6;410,1;563,3;;84,8%;85,8%;0,9;;10,0;2,0;12,0;41,0;3,4;34,2;8,6
jun/22;PT3117;Patrol;Patrol 24M;0,0;299,1;0,0;0,0;170,6;53,5;33,2;0,0;3,4;3,6;33,2;7,1;40,2;352,5;563,3;;92,9%;67,4%;0,7;;5,0;2,0;7,0;70,5;6,6;50,4;8,0
jun/22;PT3118;Patrol;Patrol 24M;0,0;108,8;0,0;0,0;39,2;0,0;76,2;0,0;281,8;57,3;76,2;339,1;415,3;108,8;563,3;;26,3%;73,5%;0,7;;7,0;4,0;11,0;15,5;10,9;9,9;59,3
jun/22;PT3119;Patrol;Patrol 24M;0,0;376,1;0,0;4,7;97,4;1,6;26,2;6,1;0,5;50,7;32,3;51,2;83,5;377,7;563,3;;85,2%;78,7%;0,8;;6,0;3,0;9,0;62,9;5,4;42,0;13,9
jun/22;PT3120;Patrol;Patrol 24M;0,0;251,6;0,0;2,8;101,1;0,0;170,7;0,0;26,3;10,8;170,7;37,0;207,7;251,6;563,3;;63,1%;70,8%;0,7;;7,0;3,0;10,0;35,9;24,4;25,2;29,7
jun/22;PT3121;Patrol;Patrol 24M;0,0;388,1;0,0;3,7;58,5;0,0;30,3;0,0;45,7;36,9;30,3;82,6;112,9;388,1;563,3;;80,0%;86,2%;0,9;;9,0;3,0;12,0;43,1;3,4;32,3;12,5
jun/22;PT3123;Patrol;Patrol 24M;0,0;131,8;0,0;0,0;70,5;16,3;84,2;0,0;260,4;0,0;84,2;260,4;344,6;148,2;563,3;;38,8%;67,8%;0,7;;5,0;1,0;6,0;29,6;16,8;24,7;68,9
jun/22;PT3124;Patrol;Patrol 24M;0,0;143,9;0,0;0,0;96,3;19,0;253,4;0,0;20,6;30,2;253,4;50,8;304,2;162,8;563,3;;46,0%;62,8%;0,6;;2,0;3,0;5,0;81,4;126,7;32,6;152,1
jun/22;PT3125;Patrol;Patrol 24M;0,0;261,3;0,6;0,1;54,2;0,0;123,7;0,0;123,5;0,0;123,7;123,5;247,2;261,8;563,3;;56,1%;82,8%;0,8;;12,0;1,0;13,0;21,8;10,3;20,1;20,6
jun/22;PT3126;Patrol;Patrol 24M;0,0;33,8;0,0;1,0;9,6;0,0;308,9;0,0;210,1;0,0;308,9;210,1;519,0;33,8;563,3;;7,9%;76,1%;0,8;;2,0;1,0;3,0;16,9;154,4;11,3;259,5
jun/22;PT3127;Patrol;Patrol 24M;0,0;158,5;0,0;0,0;20,3;0,0;93,7;0,0;288,1;2,6;93,7;290,8;384,5;158,5;563,3;;31,7%;88,6%;0,9;;3,0;2,0;5,0;52,8;31,2;31,7;128,2
